particle_id,object_id,pos_x,pos_y,vel_x,vel_y,stress_xx,stress_xy,stress_yx,stress_yy,strain_xx,strain_xy,strain_yx,strain_yy,volume,mass,density,youngs_modulus,poisson_ratio
0,1,0.12866866666666865,0.4733333333333334,1.9999999999994307,5.03053817796119e-16,1.767010469568331e-10,5.717792051795064e-10,5.717792051795064e-10,8.925564560950785e-10,0.0,0.0,0.0,0.0,1.0,1.0,1000.0,1000000.0,0.3
1,1,0.12866866666666865,0.4766666666666666,1.9999999999994251,5.293695295105235e-16,-3.2772963829931843e-10,5.724788164885633e-10,5.724788164885633e-10,6.773713214268086e-10,0.0,0.0,0.0,0.0,1.0,1.0,1000.0,1000000.0,0.3
2,1,0.12533533333333532,0.4833333333333334,1.9999999999993996,5.778490602557855e-16,-4.748529774517992e-10,6.902758706508794e-10,6.902758706508794e-10,7.825999677362028e-10,0.0,0.0,0.0,0.0,1.0,1.0,1000.0,1000000.0,0.3
3,1,0.12533533333333532,0.48666666666666664,1.9999999999993934,7.228795854452474e-16,-2.06487818296899e-10,6.900080506966318e-10,6.900080506966318e-10,8.972310074393777e-10,0.0,0.0,0.0,0.0,1.0,1.0,1000.0,1000000.0,0.3
4,1,0.12866866666666865,0.4833333333333334,1.999999999999402,6.936068347726903e-16,-4.173892001255384e-10,7.668942404192275e-10,7.668942404192275e-10,9.166821148308087e-10,0.0,0.0,0.0,0.0,1.0,1.0,1000.0,1000000.0,0.3
5,1,0.12866866666666865,0.48666666666666664,1.9999999999993952,8.31528428320448e-16,-1.4797052472204053e-10,7.680311087964436e-10,7.680311087964436e-10,1.0337713591140483e-09,0.0,0.0,0.0,0.0,1.0,1.0,1000.0,1000000.0,0.3
6,1,0.12533533333333532,0.49333333333333335,1.9999999999993832,1.0244463987952116e-15,-5.654827033979995e-11,5.087048730974144e-10,5.087048730974144e-10,7.024862742792503e-10,0.0,0.0,0.0,0.0,1.0,1.0,1000.0,1000000.0,0.3
7,1,0.12533533333333532,0.49666666666666665,1.9999999999993787,1.1809826869557071e-15,-3.519646113020899e-11,5.092186501525026e-10,5.092186501525026e-10,7.123710168763448e-10,0.0,0.0,0.0,0.0,1.0,1.0,1000.0,1000000.0,0.3
8,1,0.12866866666666865,0.49333333333333335,1.999999999999384,1.1140856110657025e-15,-5.207185110451131e-11,5.14673432077803e-10,5.14673432077803e-10,7.129312524949239e-10,0.0,0.0,0.0,0.0,1.0,1.0,1000.0,1000000.0,0.3
9,1,0.12866866666666865,0.49666666666666665,1.9999999999993798,1.2587212002631932e-15,-3.09168075755923e-11,5.149248548919941e-10,5.149248548919941e-10,7.223568751704464e-10,0.0,0.0,0.0,0.0,1.0,1.0,1000.0,1000000.0,0.3
