particle_id,object_id,pos_x,pos_y,vel_x,vel_y,stress_xx,stress_xy,stress_yx,stress_yy,strain_xx,strain_xy,strain_yx,strain_yy,volume,mass,density,youngs_modulus,poisson_ratio
0,1,0.19028787314891815,0.19750000536441803,-1.0011204481124878,7.0991927714203484e-06,-26.895090103149414,150.25164794921875,-103.80657196044922,-14.02662181854248,0.0,0.0,0.0,0.0,2.5000001187436283e-05,0.02500000037252903,1000.0,100000000.0,0.30000001192092896
1,1,0.19528788328170776,0.19249999523162842,-1.0011255741119385,2.371555410718429e-06,-7.573243141174316,47.867408752441406,-41.59182357788086,-19.85423469543457,0.0,0.0,0.0,0.0,2.5000001187436283e-05,0.02500000037252903,1000.0,100000000.0,0.30000001192092896
2,1,0.19528788328170776,0.19750000536441803,-1.0011210441589355,2.238230763396132e-06,3.640023708343506,153.19259643554688,-55.52672576904297,-11.504079818725586,0.0,0.0,0.0,0.0,2.5000001187436283e-05,0.02500000037252903,1000.0,100000000.0,0.30000001192092896
3,1,0.19028787314891815,0.20250000059604645,-1.0011144876480103,7.2064599407895e-06,-48.365516662597656,73.6275405883789,-101.75801086425781,-44.99417495727539,0.0,0.0,0.0,0.0,2.5000001187436283e-05,0.02500000037252903,1000.0,100000000.0,0.30000001192092896
4,1,0.19528788328170776,0.20250000059604645,-1.001115083694458,2.1190787720115623e-06,-3.023003339767456,69.65782928466797,-65.12764739990234,-18.4908390045166,0.0,0.0,0.0,0.0,2.5000001187436283e-05,0.02500000037252903,1000.0,100000000.0,0.30000001192092896
5,1,0.19528788328170776,0.20749999582767487,-1.001110553741455,2.0141037566645537e-06,-20.348602294921875,56.644287109375,-70.39478302001953,-31.3928279876709,0.0,0.0,0.0,0.0,2.5000001187436283e-05,0.02500000037252903,1000.0,100000000.0,0.30000001192092896
6,1,0.20028787851333618,0.19249999523162842,-1.0011252164840698,-1.676682927609363e-06,82.13456726074219,52.5185661315918,-74.59400177001953,36.01446533203125,0.0,0.0,0.0,0.0,2.5000001187436283e-05,0.02500000037252903,1000.0,100000000.0,0.30000001192092896
7,1,0.20028787851333618,0.19750000536441803,-1.0011205673217773,-2.156411483156262e-06,115.78887176513672,157.82774353027344,-67.39627838134766,61.076385498046875,0.0,0.0,0.0,0.0,2.5000001187436283e-05,0.02500000037252903,1000.0,100000000.0,0.30000001192092896
8,1,0.2052878737449646,0.19750000536441803,-1.0011205673217773,-7.392246516246814e-06,-58.03599548339844,169.0772247314453,-72.43120574951172,-43.17804718017578,0.0,0.0,0.0,0.0,2.5000001187436283e-05,0.02500000037252903,1000.0,100000000.0,0.30000001192092896
9,1,0.20028787851333618,0.20250000059604645,-1.0011147260665894,-2.4449414013361093e-06,123.29419708251953,61.99746322631836,-58.49141311645508,76.684814453125,0.0,0.0,0.0,0.0,2.5000001187436283e-05,0.02500000037252903,1000.0,100000000.0,0.30000001192092896
10,1,0.20028787851333618,0.20749999582767487,-1.001110315322876,-2.5422814360354096e-06,71.08487701416016,48.972007751464844,-47.879371643066406,37.80519485473633,0.0,0.0,0.0,0.0,2.5000001187436283e-05,0.02500000037252903,1000.0,100000000.0,0.30000001192092896
11,1,0.2052878737449646,0.20250000059604645,-1.001114845275879,-6.802697953389725e-06,-48.147335052490234,45.635562896728516,-56.190040588378906,-23.69133758544922,0.0,0.0,0.0,0.0,2.5000001187436283e-05,0.02500000037252903,1000.0,100000000.0,0.30000001192092896
